Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Faciliteter,Beskrivelse,Eiendomsmegler
"Kongens gate 14, 3611 Kongsberg",3 000 000 kr,86 542 kr,3 086 542 kr,1 881 kr,3 900 kr per år,Leilighet,Eier (Selveier),2,63 m²,66 m²,4,2001,D - rød,-1,Pen 3-roms endeleilighet i 4. etasje midt i Kongsberg sentrum - Gangavstand til alle byens fasiliteter,Aktiv Kongsberg
"Bjerkaker sjøpark Bygg D salgstrinn 6, 9007 Tromsø",2 706 000 kr,2 814 000 kr,26 627 kr,5 546 627 kr,7 818 kr,Leilighet,Andel,2,64 m²,67 m²,4,2021,-1,,Bjerkaker Sjøpark - Nyoppført og innflyttingsklar 3-roms leilighet med stor og solrik balkong mot sør. Parkering.,-1
"Rugveien 44, 0679 Oslo",2 870 000 kr,114 000 kr,15 526 kr,2 999 526 kr,2 472 kr,Leilighet,Andel,0,33 m²,33 m²,8,1960,C - gul,,PERFEKT FØRSTEGANGSKJØP | Lekker og arealeffektiv 1-roms | Flytt rett inn | Varmtvann og fyring inkl | Sentrumsnært,Nordvik Østensjø
"Hauges gate 10, 3019 Drammen",4 750 000 kr,11 144 kr,120 170 kr,4 881 314 kr,4 016 kr,Leilighet,Eier (Selveier),1,83 m²,85 m²,5,1998,D - rød,,Romslig og praktisk leilighet i 5. etasje med 2 balkonger | Oppussingsobjekt | Her bor du midt i byen!,EiendomsMegler 1 Drammen
"Ulveveien 21, 9512 Alta",2 100 000 kr,199 523 kr,13 482 kr,2 313 005 kr,4 427 kr,Leilighet,Andel,47 m²,51 m²,2001,34630 m² (eiet),-1,-1,,VISNING 30.06. kl.17:30 - HJEMMELUFT: 2-roms halvpart på ett plan. Solrik terrasse. God beliggenhet i rolige omgivelser.,-1
"Thor Olsens gate 4A, 0177 Oslo",2 490 000 kr,27 000 kr,1 164 kr,2 518 164 kr,1 036 kr,Leilighet,Andel,0,19 m²,19 m²,1,1892,G - rød,,Ettertraktet 1 (2) roms | 25 kvm inkl. tilleggsrom | Lave kostnader | Sjarmerende historisk bygård,EiendomsMegler 1 Oslo Sentrum
"Snølia leilighet C132, 1473 Lørenskog",3 950 000 kr,16 212 kr,3 966 212 kr,1 620 kr,-1,Leilighet,Eier (Selveier),2,49 m²,50 m²,5,2021,-1,,LØRENSKOG/SNØLIA | Resalg av en splitter ny 3-roms med nybygg standard | Balkong på ca 6.6 kvm |5 etg m/heis | utleieobj,Proaktiv Christiania
"Øvre Torvgate 17 - selveier, 2821 Gjøvik",3 290 000 kr,-1,-1,-1,-1,55 - 61 m²,1 - 2,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,NYTORVET BOLIGPARK - En fredelig idyll midt i sentrum. 19 nye og moderne selveierleiligheter skal bygges. Kun 2 ledige!,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Hamnevegen 22, 5200 Os",3 290 000 kr,-1,-1,-1,-1,50 - 84 m²,2 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Oselvo - nye boliger for livsnytere som ønsker nærhet til alt!,JM Norge Oslo
"Solåsen 2G, 5223 Nesttun",3 790 000 kr,103 320 kr,3 893 320 kr,2 654 kr,11 145 kr per år,Leilighet,Eier (Selveier),2,76 m²,80 m²,4,2014,C - mørkegrønn,,SOLÅSEN - Stilren 3 roms selveierleilighet i 4. etasje med strålende beliggenhet. Garasjeplass.,-1
"Georg Frølichs vei 19, 1482 Nittedal",4 650 000 kr,117 592 kr,4 767 592 kr,3 977 kr,-1,Leilighet,Eier (Selveier),3,80 m²,86 m²,1,2017,C - mørkegrønn,,"Nyere, lekker 4-roms selveier med romslig markterrasse, garasjeplass og trappefri adkomst. Nær marka og tog.",-1
"Nerskogen, 7393 Rennebu",2 650 000 kr,-1,-1,-1,-1,71 - 79 m²,2 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"Prosjekterte leiligheter med en flott beliggenhet på Nerskogen i Rennebu. 4 solgte, bygging igangsatt!",EiendomsMegler 1 avd. Oppdal
"Tunveien 8, Trinn 3, 1475 Finstadjordet",1 345 000 kr,-1,-1,-1,-1,27 - 122 m²,1 - 3,Leilighet,Andel,-1,-1,-1,-1,-1,TUNKVARTALET PÅ LØRENSKOG TRINN 3 - SALGET ER I GANG! Kun 5% forskudd ut mai!,DNB Eiendom AS
"Hokkåsflata 11, 8028 Bodø",2 270 000 kr,376 035 kr,1 132 kr,2 647 167 kr,4 491 kr,Leilighet,Andel,1,47 m²,64 m²,3,1985,E - rød,,Flott og arealeffektiv 2-roms leilighet med nærhet til Mørkved Bydelssenter med Innglasset balkong,-1
"Åkebergveien 24B, 0650 Oslo",3 500 000 kr,130 301 kr,1 132 kr,3 631 433 kr,3 427 kr,Leilighet,Andel,2,46 m²,46 m²,2,1889,F - rød,,Lys og moderne 3-roms med takhøyde på over 3 meter - Ny fra 2007 - Tv og bredbånd inkl. - Ingen forkjøpsrett!,-1
"Oppsaltoppen 17 c, 0687 Oslo",4 100 000 kr,61 000 kr,8 626 kr,4 169 626 kr,3 587 kr,Leilighet,Andel,2,67 m²,67 m²,2,1956,-1,,"Tiltalende 3(4)-roms leilighet med delikat flislagt baderom, lekkert kjøkken, vestvendt balkong og med Østmarka som nabo",-1
"Skappels gate 1 B, 2317 Hamar",2 990 000 kr,567 274 kr,8 032 kr,3 565 306 kr,6 167 kr,Leilighet,Andel,2,60 m²,60 m²,5,1957,G - mørkegrønn,,Rålekker 3-roms leilighet i toppetasjen med fantastisk mjøsutsikt. Nytt bad og kjøkken. Bør oppleves.,Aktiv Hamar
"Sørkedalsveien 9A, 0369 Oslo",8 250 000 kr,38 000 kr,1 132 kr,8 289 132 kr,4 418 kr,Leilighet,Andel,2,65 m²,68 m²,7,2008,E - rød,,Spektakulær leilighet med privat takterrasse og 12 kvm balkong |Høy standard| Heis | Garasje m/ EL | Ingen dok.avg,-1
"Skeisvannsvegen 15 C, 5519 Haugesund",1 000 000 kr,179 496 kr,4 957 kr,1 184 453 kr,3 400 kr,Leilighet,Andel,2,66 m²,66 m²,1953,3,-1,-1,Sentralt - Lys og pen 3-roms leilighet med gjesterom på loft. Meget sentral og attraktiv beliggenhet tett på Idrettspark,-1
"Landgangen 3, 0252 Oslo",5 890 000 kr,156 270 kr,6 046 270 kr,3 099 kr,-1,Leilighet,Eier (Selveier),1,41 m²,45 m²,6,2012,D - mørkegrønn,,"TJUVHOLMEN | Fantastisk flott 2-roms på Holmen med god standard, heis, balkong og herlig sjøutsikt! Felles takterrasse!",EIE eiendomsmegling Frogner
"Apotekergata 13, 3187 Horten",5 700 000 kr,143 842 kr,5 843 842 kr,2 889 kr,7 016 kr per år,Leilighet,Eier (Selveier),2,105 m²,132 m²,4,2012,C - mørkegrønn,-1,"STRØKEN, oppusset selveierleilighet i 4.etg med høy finish - 2 bad/wc - Vestvendt innglasset veranda - Parkeringsplass",-1
"Nedre Strandgate 43A, 6005 Ålesund",3 590 000 kr,91 092 kr,3 681 092 kr,3 858 kr,-1,Leilighet,Eier (Selveier),3,81 m²,84 m²,3,2016,B - mørkegrønn,,Bølgen Atrium - Lekker og tiltalende 4-romsleilighet | Heis | Parkeringsplass tilrettelagt for lading | Fjernvarme,Krogsveen avd. Ålesund
"Herkulesvegen 3B, 2165 Hvam",1 700 000 kr,190 706 kr,8 626 kr,1 899 332 kr,4 373 kr,Leilighet,Andel,1,35 m²,37 m²,1,2000,D - rød,,"Funksjonell 2-roms andelsleilighet i ende av rekkehus - Usjenert, sydvendt uteplass - Biloppstillingsplass.",-1
"Rastastubben 4, 1476 Rasta",2 950 000 kr,68 000 kr,86 992 kr,3 104 992 kr,3 090 kr,Leilighet,Eier (Selveier),1,57 m²,57 m²,3,1989,E - oransje,,Meget pen og tidsriktig eiet 2-roms - Kjøkken med alle hvitevarer - Stor solrik balkong 14 kvm. - Garasje med el. lader,Aktiv Torshov
"Inges gate 31, 2004 Lillestrøm",3 850 000 kr,41 462 kr,97 592 kr,3 989 054 kr,3 000 kr,Leilighet,Eier (Selveier),2,65 m²,112 m²,1,1955,E - gul,,"Lekker 3-roms med attraktiv og barnevennlig beliggenhet, med fine uteområder. Uinnredet kjeller. Biloppstilling.",-1
"Moa park 4, 6018 Ålesund",1 600 000 kr,249 000 kr,1 132 kr,1 850 132 kr,5 155 kr,Leilighet,Andel,1,57 m²,62 m²,6,1999,D - mørkegrønn,,Andelsleilighet med sentral beliggende på Moa | 1 soverom | Vestvendt balkong | Heis | Livsløpstandard,Krogsveen avd. Ålesund
"Nygårdsgaten 68, 5008 Bergen",3 190 000 kr,8 032 kr,3 198 032 kr,2 471 kr,-1,Leilighet,Andel,2,42 m²,45 m²,5,1890,-1,-1,"Rålekker toppleilighet med egen hems. Fasade (2014), taktekking (2018) og innvendige kvaliteter oppgradert (2019)",PrivatMegleren Vikebø & Jørgensen
"Okstadvegen 345, 7075 Tiller",3 590 000 kr,91 092 kr,3 681 092 kr,2 002 kr,8 400 kr per år,Leilighet,Eier (Selveier),2,74 m²,74 m²,2,2010,C - mørkegrønn,,"3-roms selveier fra 2010 med upåklagelig utsikt og lang solgang. Stor veranda, parkering, lave felleskost, TG0/1 på alt",Krogsveen avd. Trondheim
"Rådhusgata 39, 4200 Sauda",1 900 000 kr,-1,-1,-1,-1,79 m²,2,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Sauda/Sentrum - To flotte nøkkelferdige leiligheter i sentrum - God standard og to soverom,-1
"Skarmyrakvartalet, 1530 Moss",3 328 105 kr,-1,-1,-1,-1,47 - 130 m²,1 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,SKARMYRAKVARTALET - Prosjekterte selveierleiligheter - God standard - Kveldssol - Heis - Tilvalgsmuligheter - Garasje*,Krogsveen avd. Moss
"Flaktveitsvingane 7, 5135 Flaktveit",2 200 000 kr,159 947 kr,13 353 kr,2 373 300 kr,3 279 kr,Leilighet,Andel,1,49 m²,49 m²,-1,1979,-1,,Flott leilighet nyoppført i 2017 med og parkering i garasje.,-1
"Langbølgen 58, 1150 Oslo",4 200 000 kr,77 000 kr,21 549 kr,4 298 549 kr,3 649 kr,Leilighet,Andel,2,70 m²,78 m²,1,1965,F - rød,,Meget attraktiv 3-roms hjørneleilighet med innglasset balkong. Enkel adkomst i høy 1. etg. Pipeløp. Munkerud skole.,PrivatMegleren Panorama
"Strømsbuneset 9B, 4839 Arendal",2 350 000 kr,70 120 kr,2 420 120 kr,2 000 kr,14 527 kr per år,Leilighet,Eier (Selveier),2,70 m²,72 m²,1,1991,F - oransje,-1,3-roms leilighet sentralt i Arendal - sjønær leilighet-like vest for sentrum-brygge-parkeringsplass,-1
"Boreas gate 29-31, 5532 Haugesund",3 690 000 kr,-1,-1,-1,-1,81 - 166 m²,2 - 4,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,HEMMINGSTADTOPPEN BYGG 2 - SALGET ER I GANG! 11 eksklusive arkitekttegnede leiligheter i størrelse fra 84 til 172 kvm!,DNB Eiendom AS
"Refneveien 40A, 1771 Halden",1 150 000 kr,4 356 kr,-1,-1,-1,Leilighet,Andel,1,49 m²,65 m²,2,1975,E - rød,-1,Praktsk 2-roms leilighet -flott utsikt -sentrumsnært,-1
"Aspesvingen 32, 9517 Alta",2 990 000 kr,76 092 kr,3 066 092 kr,810 kr,10 695 kr per år,Leilighet,Eier (Selveier),1,52 m²,63 m²,2,2018,D - oransje,,Nyere 2(3)-roms leilighet med attraktiv beliggenhet - Fin utsikt- God takhøyde - Carport med sportsbod,-1
"Ringkollgrenda 4E, 3227 Sandefjord",1 390 000 kr,164 602 kr,1 132 kr,1 555 734 kr,3 114 kr,Leilighet,Andel,1,57 m²,69 m²,5,1978,E - rød,,Flott og praktisk leilighet med god beliggenhet i 5.etg. Heis. Garasje,-1
"Kalfarveien, 5018 Bergen",7 590 000 kr,-1,-1,-1,-1,77 - 129 m²,2 - 3,Leilighet,Eier (Selveier),B - rød,-1,-1,-1,-1,"Bergen sentrum | Kalfarveien | 52 flotte leiligheter med balkong/takhage, felles takhage, heis og mulighet for garasje.",PrivatMegleren Vikebø & Jørgensen Nybygg
"Stabells gate 6, 3510 Hønefoss",3 490 000 kr,70 908 kr,90 342 kr,3 651 250 kr,4 291 kr,Leilighet,Eier (Selveier),4,110 m²,110 m²,3,1908,E - rød,,Meget tiltalende 5-roms eierleilighet m/ balkong og heis. Fasaderehabilitering 2018. Sentralt. Godt investeringsobjekt.,-1
"Valheimveien, 4020 Stavanger",947 500 kr,-1,-1,-1,-1,74 m²,78 m²,2,Leilighet,Andel,104,B - lysegrønn,-1,-1,"Husene i skogen-trinn to! Leilighet med to sov, bad og gjestetoalett, parkering",-1
"Bjørnsons gate 58, 2003 Lillestrøm",3 400 000 kr,136 kr,96 992 kr,3 497 128 kr,2 950 kr,Leilighet,Eier (Selveier),2,65 m²,67 m²,2,1952,-1,,3-roms renoveringsobjekt på Volla. Leiligheten disponerer loftet over denne seksjonen. Garasje og kjellerboder.,Proaktiv Eiendomsmegling Lørenskog
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Steinspranget 63, 1157 Oslo",3 900 000 kr,180 000 kr,15 554 kr,4 095 554 kr,2 968 kr,Leilighet,Andel,2,63 m²,65 m²,3,1957,E - rød,,"Meget pen og tiltalende 3-roms med solrik, vestvendt balkong | Peis | Nytt kjøkken i 2017 | Bad oppusset i regi av brl.",PrivatMegleren Panorama
"Fredrik Solies vei 13, 1523 Moss",2 500 000 kr,254 219 kr,15 553 kr,2 769 772 kr,4 922 kr,Leilighet,Andel,2,72 m²,72 m²,2,1958,G - oransje,,"Ørejordet, Moss - Flott 3-roms leilighet med god standard. Perfekt førstegangskjøp!",PrivatMegleren Moss
"Bentnesveien 31, 6512 Kristiansund N",790 000 kr,218 527 kr,1 162 kr,1 009 689 kr,4 300 kr,Leilighet,Andel,1,56 m²,56 m²,2,1954,F - rød,,"PÅMELDINGSVISNING - Pent oppusset leilighet i 1.etasje med meget flott bad, stor balkong og parkering!",-1
"Spro Havn Fagerstrand, 1454 Fagerstrand",3 250 000 kr,-1,-1,-1,-1,37 - 186 m²,1 - 4,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"SPRO HAVN - ""Seilet"" Salgstrinn 2 - Nye, flotte utsiktsleiligheter med båtplass!",DNB Eiendom AS
"Bergkrystallen 4, 1155 Oslo",4 300 000 kr,327 000 kr,13 154 kr,4 640 154 kr,3 233 kr,Leilighet,Andel,2,65 m²,65 m²,1,1952,F - rød,,Rålekker nyoppusset 3-roms leilighet m/sydvendt balkong - Mulighet for trapp m/markterrasse - Peis - Flott fellesareal,-1
"Orkdalsveien 564, 7320 Fannrem",2 750 000 kr,69 920 kr,2 819 920 kr,1 250 kr,8 801 kr per år,Leilighet,Eier (Selveier),3,118 m²,118 m²,1,1970,C - rød,,Stor og innbydende 4 roms leilighet med sentral beliggenhet på Fannrem | 3 soverom | terrasse | garasjeplass,EiendomsMegler 1 avd. Orkanger
6017 Ålesund,3 935 000 kr,-1,-1,-1,-1,65 - 79 m²,2 - 3,2,Leilighet,Eier (Selveier),-1,-1,-1,-1,"ÅSE NORD - Moderne, lyse leiligheter med stor takhøyde og parkering i parkeringskjeller med heis",Norgeshus Din Bolig AS
"Fossumlunden II, 1920 Sørumsand",4 050 000 kr,-1,-1,-1,-1,71 - 83 m²,2 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,FOSSUMLUNDEN II (Blokk B) Nye og spennende 3- og 4- roms leiligheter på Sørumsand.,DNB Eiendom AS
"Mortensknutveien 35A, 4372 Egersund",2 290 000 kr,58 592 kr,2 348 592 kr,10 547 kr per år,-1,Leilighet,Eier (Selveier),2,63 m²,73 m²,2015,338 m² (eiet),-1,-1,Flott moderne leilighet i 2.etasje med barnevennlig beliggenhet | 2 soverom | terrasse.,-1
"Eplestien E3 (BB4-1), 4027 Stavanger",997 500 kr,-1,-1,-1,-1,70 - 109 m²,2 - 3,Leilighet,Andel,-1,-1,-1,-1,-1,EPLESTIEN E3 - Godkjent av Husbanken! Byggestart vedtatt - overta innen 4. kvartal 2022! Leiligheter med meget gode solforhold og flott utsikt over fellesområdet.,DNB Eiendom AS
"Korporal Nerdrums vei 3 F, 1960 Løken",2 200 000 kr,739 kr,66 542 kr,2 267 281 kr,2 000 kr,Leilighet,Eier (Selveier),2,66 m²,69 m²,2,2007,-1,-1,"Bo solrikt og skjermet i Løken sentrum, i en trivelig 3-roms selveier, med vestvendt balkong, ildsted og rekkegarasje.",Aktiv Bjørkelangen
"Grinderengsletta 7, 2340 Løten",3 310 000 kr,-1,-1,-1,-1,66 - 74 m²,2,6,Leilighet,Eier (Selveier),C - lysegrønn,-1,-1,-1,Løten - Nye leiligheter midt i sentrum med heis og parkeringskjeller. Kun 6 leiligheter igjen med overtagelse til jul.,OBOS Eiendomsmeglere - Hamar prosjekt
"Cappelens gate 13, 3015 Drammen",3 390 000 kr,93 770 kr,3 483 770 kr,3 214 kr,-1,Leilighet,Eier (Selveier),65 m²,65 m²,2,1880,G - rød,-1,,BRAGERNES - 3 - roms selveierleilighet i klassisk bygård med god takhøyde - Supersentral beliggenhet!,Meglerhuset & Partners Drammen
"Okstadvegen 235, 7075 Tiller",3 490 000 kr,88 592 kr,3 578 592 kr,2 112 kr,21 072 kr per år,Leilighet,Eier (Selveier),2,74 m²,74 m²,1,2011,C - mørkegrønn,,Moderne 3-roms fra 2011 med pen standard. TG1 på alt. Fjernvarme og balansert ventilasjon. Solrik veranda. Parkering.,-1
"Rodeløkka 3, 1778 Halden",840 000 kr,347 801 kr,1 187 801 kr,3 643 kr,-1,Leilighet,Andel,1,33 m²,47 m²,2,1972,D - rød,-1,2-roms leilighet - sentralt- 2. etasje - innglasset balkong,-1
"Neuberggata 4B (inngang fra Elsters gate), 0367 Oslo",8 500 000 kr,74 716 kr,215 740 kr,8 790 456 kr,3 758 kr,Leilighet,Eier (Selveier),2,91 m²,93 m²,2,1898,G - oransje,,Klassisk 4-roms m/herlig sydvestvendt balkong og peis. God takhøyde - 3 stuer på rad - Idyllisk bakgård og rolig område,Notar Oslo
"St. Olavs gate 11, 4005 Stavanger",4 950 000 kr,124 920 kr,5 074 920 kr,3 157 kr,2 636 kr per år,Leilighet,Eier (Selveier),2,98 m²,98 m²,5,1989,-1,,"St. Olav - Stor og lys hjørneleilighet i 5.etasje med heis, garasje, utsikt og alt på ett plan.",EiendomsMegler 1 Stavanger
"Ragnhild Schibbyes vei 58, 0968 Oslo",2 990 000 kr,518 000 kr,15 554 kr,3 523 554 kr,5 129 kr,Leilighet,Andel,4,101 m²,105 m²,1976,E - rød,-1,-1,Romslig og innholdsrik 5-roms andelsleilighet over to plan - Oppussingsobjekt - 2 bad/wc - 2 terrasser - Garasjeplass!,-1
"Kjerulfs gate 37D, 2000 Lillestrøm",3 790 000 kr,106 292 kr,3 896 292 kr,4 352 kr,-1,Leilighet,Eier (Selveier),2,69 m²,69 m²,3,1962,F - mørkegrønn,-1,"Gjennomgående, luftig og dels oppgradert 3-roms selveier - Lun balkong - Egen p-plass - Fyring og varmtvann inkludert.",Aktiv Lillestrøm
"Bøkkerveien 24C, 0579 Oslo",10 900 000 kr,272 500 kr,11 172 500 kr,5 157 kr,-1,Leilighet,Eier (Selveier),3,98 m²,101 m²,5,2017,D - mørkegrønn,,Lekker topp-/endeleilighet m/ privat takterrasse på 57 kvm + to balkonger - 2 bad - heis - garasje!,Krogsveen avd. Årvoll
"Moafjæra 6 I, 7606 Levanger",2 025 000 kr,-1,-1,-1,-1,73 - 114 m²,2 - 4,Leilighet,Andel,-1,-1,-1,-1,-1,"19 leiligheter i Levanger sør, meget sentralt. Parkeringskjeller og heis. Vannbåren gulvvarme. Sol og utsikt.",EiendomsMegler 1 avd. Levanger
"Nedre Hjelmeset 5 C, 6091 Fosnavåg",2 100 000 kr,53 670 kr,2 153 670 kr,-1,-1,Leilighet,Eier (Selveier),2,80 m²,80 m²,2,1998,E - rød,-1,Pen leilighet beliggende i 2. etasje | 2 soverom | Garasjeplass | Sentral beliggenhet,EiendomsMegler 1 avd. Søre Sunnmøre
"Solheimslien 44, 5056 Bergen",2 290 000 kr,1 219 184 kr,5 060 kr,3 514 244 kr,8 414 kr,Leilighet,Andel,3,73 m²,91 m²,3,1965,-1,,"Stor 4 roms leilighet med panoramautsikt | Ny fasade, balkong, ventilasjon, sentralvarme og takterrasse | BØR SEES",-1
"Nedre Flatåsveg 48A, 7099 Flatåsen",2 090 000 kr,943 645 kr,5 060 kr,3 038 705 kr,8 545 kr,Leilighet,Andel,3,126 m²,133 m²,1982,E - oransje,-1,,Koselig rekkehus over 3 plan - Solrike utearealer - Barnevennlig område - 3-4 sov - Utsikt,Heimdal Eiendomsmegling AS avd Heimdal
"Kroksveien 31, 3050 Mjøndalen",2 490 000 kr,73 820 kr,2 563 820 kr,2 300 kr,-1,Leilighet,Eier (Selveier),2,75 m²,75 m²,2,1997,D - oransje,,"Hyggelig 3-roms selveier med sentral beliggenhet - Solrik, sydvendt terrasse - Gangavstand til sentrum",PrivatMegleren Drammen
"Peder Nilsens gate 17C, 2321 Hamar",3 490 000 kr,88 622 kr,3 578 622 kr,500 kr,7 000 kr per år,Leilighet,Eier (Selveier),3,87 m²,98 m²,1,2017,B - oransje,-1,HAMAR | Nyere og lekker 4-roms leilighet | Lave felleskostnader | Carport | Sentralt og barnevennlig |,EiendomsMegler 1 - Hamar
"Sofienberggata 35B, 0558 Oslo",4 475 000 kr,425 000 kr,8 032 kr,4 908 032 kr,2 920 kr,Leilighet,Andel,1,50 m²,50 m²,3,2019,B - mørkegrønn,,Ny og moderne 2-roms fra 2019 | Balkong | Gjennomgående | God planløsning | Superb beliggenhet,Nordvik Ullevål
"Meierikvartalet Salgstrinn 2, 2001 Lillestrøm",5 550 000 kr,-1,-1,-1,-1,66 - 126 m²,2 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Meierikvartalet - Tårnhus 2 med 19 etasjer - Salgssuksess med 94 % salg. Fortsatt noen få flotte leiligheter igjen!,DNB Eiendom AS
"Geitastova 1, 4031 Stavanger",3 190 000 kr,80 920 kr,3 270 920 kr,2 118 kr,7 152 kr per år,Leilighet,Eier (Selveier),2,66 m²,70 m²,2,2018,C - mørkegrønn,,"Nyere, flott og solrik selveierleilighet med særdeles fint beliggenhet på hjørne i 2. etasje.",EiendomsMegler 1 Randaberg
"Thereses gate 31B, 0354 Oslo",3 290 000 kr,27 808 kr,15 553 kr,3 333 361 kr,1 967 kr,Leilighet,Andel,34 m²,34 m²,1901,G - rød,1,-1,,"Klassisk, moderne og tiltalende 1-roms rett ved idylliske Stensparken |Peis |P-mulighet |Perfekt førstegangskjøp!",PrivatMegleren Ullevål
"Bjørnstjerne Bjørnsons veg 98 B, 6410 Molde",4 300 000 kr,108 670 kr,4 408 670 kr,2 653 kr,21 445 kr per år,Leilighet,Eier (Selveier),2,94 m²,98 m²,1,2011,C - oransje,,"Bjørset- Stor, pen 3-roms leilighet med 2 bad, heis og garasjeplass",EiendomsMegler 1 avd. Molde
"Trondheimsveien 14C, 0560 Oslo",2 980 000 kr,88 030 kr,85 719 kr,3 153 749 kr,3 039 kr,Leilighet,Eier (Selveier),1,37 m²,37 m²,4,1877,G - rød,,"Klassisk 2-r vendt mot rolig, indre gård | God takhøyde | Oppussingsbehov | Perfekt for utleie. eller førstegangskjøp!",Schala & Partners Carl Berner
"Skåtaberget 27D, 6010 Ålesund",2 050 000 kr,60 242 kr,2 110 242 kr,5 461 kr per år,-1,Leilighet,Eier (Selveier),1,47 m²,52 m²,-1,2001,E - rød,,Pen 2-roms selveierleilighet i populært boligområde - Flott utsikt og meget gode solforhold - Garasje,Aursnes & Partners Eiendomsmegling Ålesund AS
"Latinskolegata 6, 6004 Ålesund",1 650 000 kr,2 057 kr,-1,-1,-1,Leilighet,Eier (Selveier),2,48 m²,48 m²,4,1918,F - rød,,BUD MOTTATT-Pen 3-roms selveierleilighet i Ålesund sentrum | Lave felleskostnader | Utsikt mot grøntareal | Rolig område,EIE eiendomsmegling Ålesund
"Dueveien 9, 2016 Frogner",3 190 000 kr,91 120 kr,3 281 120 kr,2 042 kr,-1,Leilighet,Eier (Selveier),1,44 m²,48 m²,1987,B - rød,-1,,"Moderne, ""ny"" 2-roms selveier i høy 1.etg med god standard - Vestvendt balkong på ca. 12 kvm - Sentral beliggenhet!",PrivatMegleren Lillestrøm
"Odvar Solbergs vei 200, 0973 Oslo",2 450 000 kr,578 882 kr,16 253 kr,3 045 135 kr,5 352 kr,Leilighet,Andel,3,86 m²,102 m²,1973,G - rød,-1,,Romslig og lys 4-roms I Solrik balkong I Nærhet til marka I Garasjeplass m. elbiI-lader I Gode oppbevaringsmuligheter,Schala & Partners Kalbakken
"Knausen 175, 9018 Tromsø",3 230 000 kr,449 861 kr,12 554 kr,3 692 415 kr,7 209 kr,Leilighet,Andel,3,102 m²,109 m²,1978,4,-1,,Attraktiv og velholdt 4-roms med stor balkong og fantastisk utsikt i veletablert og barnevennlig borettslag!,GARANTI Eiendomsmegling Tromsø
"Rødsgrenda 26, 1389 Heggedal",4 790 000 kr,34 153 kr,129 640 kr,4 953 793 kr,3 326 kr,Leilighet,Eier (Selveier),3,105 m²,111 m²,2,2011,B - rød,-1,Lys og fin 4-roms endeleilighet i naturskjønne omgivelser. Vestvendt og solrik balkong. Carport med lader. Barnevennlig.,EIE eiendomsmegling Asker
"Mørtelverksbakken 25, 0580 Oslo",3 850 000 kr,97 592 kr,3 947 592 kr,1 984 kr,-1,Leilighet,Eier (Selveier),1,41 m²,45 m²,2,2019,C - mørkegrønn,,"Lys & lekker 2-roms med vestvendt balkong|Arealeffektiv planløsning|""Alt"" inkl. i lave FK|Heis|m/utbyggergaranti|Må sees",-1
"Stårheim, 6777 Stårheim",2 730 000 kr,-1,-1,-1,-1,84 m²,3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,NYTT prosjekt på nye flate tomter på Stårheim! Mogleg med husbankfinansiering !,BoligPartner - Din Bustad AS
"Enebakkveien 164, 0680 Oslo",2 990 000 kr,99 339 kr,15 503 kr,3 104 842 kr,2 908 kr,Leilighet,Andel,1,31 m²,33 m²,4,1960,B - gul,,"Lys og hyggelig 1(2)-R I Solrik vestvendt balkong på 7,3m² med utsikt I Lave felleskost. inkl. ""alt"" I Heis I P-plass*",Schala & Partners Sagene
"Askergata 2, 0475 Oslo",6 400 000 kr,80 934 kr,171 770 kr,6 652 704 kr,4 883 kr,Leilighet,Eier (Selveier),2,71 m²,71 m²,2,1966,-1,,"Lekker, nyoppusset 3-roms hjørneleil. m/ balkong, heis og garasje. Nytt HTH kjøkken og bad fra 2021. Stille og skjermet",EIE eiendomsmegling Wekre og Partnere
"Presthaugvegen 3C, 5521 Haugesund",1 650 000 kr,153 916 kr,5 860 kr,1 809 776 kr,3 703 kr,Leilighet,Andel,2,72 m²,72 m²,1,1969,-1,,Solvang/Presthaug - Meget tiltalende leilighet i 1. etasje - 2 soverom og gjennomgående god standard - Påkostet,-1
"Edelløv 602, 1388 Borgen",6 990 000 kr,-1,-1,-1,-1,96 m²,98 m²,3,4,2,Leilighet,Eier (Selveier),-1,-1,"Edelløv, nær Asker sentrum - Nytt rekkehus med markterrasse, p-plass og 3 sov.",Sem & Johnsen
